Job_title,Company,Location,Job_Type,Job_URL
"Director, AI & Data CoE",PULSE -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/3yd6fw6zovno-director-ai-data-coe-pulse-cairo-egypt
AI Coach,DryvSmart -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/dthvvomnok6i-ai-coach-dryvsmart-cairo-egypt
Senior AI Engineer,Efada Technology -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/e24mgm9chl4v-senior-ai-engineer-efada-technology-cairo-egypt
AI Fashion & Textile Content Creator,El Chourbagi -,"Heliopolis, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/pxtsg5lwrq8i-ai-fashion-textile-content-creator-el-chourbagi-cairo-egypt
AI Software Engineer – Freelance | Remote,Confidential -,"Dubai, United Arab Emirates",Freelance / Project,https://wuzzuf.net/jobs/p/lrw7rdbrozys-ai-software-engineer-freelance-remote-dubai-united-arab-emirates
AI Video Production,Engineeius -,"Cairo, Egypt",Freelance / Project,https://wuzzuf.net/jobs/p/reb7hiksiwdr-ai-video-production-engineeius-cairo-egypt
AI Specialist,EMIRATES BARQ -,"Sharjah, United Arab Emirates",Full Time,https://wuzzuf.net/jobs/p/iwb6n9erw9um-ai-specialist-emirates-barq-alshark-alamarat-alaarby-almthd
Business Development Assistant,Esnad Solutions Environmental Consulting -,"Riyadh, Saudi Arabia",Full Time,https://wuzzuf.net/saudi/jobs/p/yj6jvpwgotul-business-development-assistant-esnad-solutions-environmental-consulting-riyadh-saudi-arabia
Senior AI Machine Learning Engineer,Techsa -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/vu52uzynigyg-senior-ai-machine-learning-engineer-techsa-cairo-egypt
Generative AI Engineer,Etisalat Egypt -,"Mohandessin, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/akqwplo1gphu-generative-ai-engineer-etisalat-egypt-giza-egypt
Export Manager (Herbs) - Fayoum,البدر للإستيراد والتصدير -,"Fayoum, Fayoum, Egypt",Full Time,https://wuzzuf.net/jobs/p/sx5rpsweaeod-export-manager-herbs-fayoum-albdr-llastyrad-oaltsdyr-fayoum-egypt
B2B Membership Growth & Sales Specialist – AI-Powered Content & Digital Outreach,Confidential -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/odlwjg0ccz2g-b2b-membership-growth-sales-specialist-ai-powered-content-digital-outreach-cairo-egypt
AI / Machine Learning Engineer,Confidential -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/nsgeozvz1sas-ai-machine-learning-engineer-cairo-egypt
General Manager,Confidential -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/3rtunlr39o7o-general-manager-cairo-egypt
Data Analyst,EGEC -,"Haram, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/vclkpyuwu8wh-data-analyst-egec-giza-egypt
Financial Analyst - Commercial,Mobility Pro DMCC -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/ubk0m0xtphtx-financial-analyst-commercial-mobility-pro-dmcc-cairo-egypt
Market Research Analyst - AI,Confidential -,"Heliopolis, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/38qcc4fxxkfw-market-research-analyst-ai-cairo-egypt
Supply Chain Analyst,Akhnaton Trading and distribution - EVA Group Limted -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/o28dqfvkorh4-supply-chain-analyst-akhnaton-trading-and-distribution-eva-group-limted-cairo-egypt
Policy Analyst,香港卓泓國際集團有限公司 -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/469ah6xctwwi-policy-analyst-cairo-egypt
CRM Analyst,Infinity Clinic Pharma -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/xc4bn4wyy4m6-crm-analyst-infinity-clinic-pharma-cairo-egypt
Area Sales DC Analyst - Katamyia,Beyti - an Almarai Subsidiary -,"Katameya, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/0glqwvjfrxnp-area-sales-dc-analyst-katamyia-beyti-an-almarai-subsidiary-cairo-egypt
"Senior Data Analyst (BI, Automation & AI-Driven Analytics)",Sky Restaurants -,"Sheikh Zayed, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/fii9e7ajad4m-senior-data-analyst-bi-automation-ai-driven-analytics-sky-restaurants-giza-egypt
Financial Analyst,Cleopatra Hospitals Group -,"6th of October, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/1m124ljq5hjp-financial-analyst-cleopatra-hospitals-group-giza-egypt
Senior Financial Planning Analyst,Tamweely -,"Boulaq, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/vxis6jrtvdr4-senior-financial-planning-analyst-tamweely-cairo-egypt
Junior IT Business Analyst,Vertex Technologies -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/aod6chikgvzw-junior-it-business-analyst-vertex-technologies-cairo-egypt
HR Data Analyst,Amreyah Cement -,"Sheraton, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/pyqhdkta1ch6-hr-data-analyst-amreyah-cement-cairo-egypt
Senior BI Analyst,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/q9htrgprlbhs-senior-bi-analyst-ibn-sina-pharma-cairo-egypt
Area Sales DC Analyst - Alexandria,Beyti - an Almarai Subsidiary -,"Alexandria, Egypt",Full Time,https://wuzzuf.net/jobs/p/m6pcolg5exe7-area-sales-dc-analyst-alexandria-beyti-an-almarai-subsidiary-alexandria-egypt
Sales Analyst,B.TECH -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/aue7xgg03lhn-sales-analyst-b-tech-cairo-egypt
Market Research Analyst,STM -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/n59f1xuogke7-market-research-analyst-stm-cairo-egypt
Data Analyst,TechJump -,"Alexandria, Egypt",Full Time,https://wuzzuf.net/jobs/p/zqrw3masyxwc-data-analyst-techjump-alexandria-egypt
Senior Financial Planning & Analyst,Confidential -,"Mohandessin, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/nrfnzce3fa7v-senior-financial-planning-analyst-giza-egypt
PMO Project Manager & Business Analyst,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/f1lc4qk8bfno-pmo-project-manager-business-analyst-riseup-endemag-for-administrative-skills-development-cairo-egypt
Senior Sales Operations Analyst,Egypt Gold -,"Heliopolis, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/lv0izpfonlkg-senior-sales-operations-analyst-egypt-gold-cairo-egypt
Procurement Analyst,Al Andalous Pharmaceutical Industries -,"6th of October, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/tovgcz4bqhch-procurement-analyst-al-andalous-pharmaceutical-industries-giza-egypt
Business Analyst Lead,Tawfeer -,"Maadi, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/xyblxqvbjreb-business-analyst-lead-tawfeer-cairo-egypt
Senior Financial Analyst,Cultiv -,"Maadi, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/ujofqlalky6g-senior-financial-analyst-cultiv-cairo-egypt
Business Analyst,Confidential -,"Dokki, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/xnpqgweb1agp-business-analyst-giza-egypt
Customer Experience & Engagement Analyst,Tank -,"New Nozha, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/csaxnnhktvfg-customer-experience-engagement-analyst-tank-cairo-egypt
WFM Forecasting Analyst,Giza Systems -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/019zagizw2bg-wfm-forecasting-analyst-giza-systems-cairo-egypt
Sr. FP&A ( Financial Planning Analyst ),DAF Holding -,"Maadi, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/c9ihdqtw1rfw-sr-fpa-financial-planning-analyst-daf-holding-cairo-egypt
Talent Acquisition Specialist,Shiny White Dental Center -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/m6tbajek4bnt-talent-acquisition-specialist-shiny-white-dental-center-cairo-egypt
Planning & Data Supervisor,Family Corporation -,"Haram, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/axweyysudwpr-planning-data-supervisor-family-corporation-giza-egypt
R&D Chemist,Nebita Biochemicals -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/bkky8cy6dlo0-rd-chemist-nebita-biochemicals-cairo-egypt
AI Engineer,ITGoals -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/obuc0novnoqj-ai-engineer-itgoals-cairo-egypt
Research and Development Chemist.,Amreyah Cement -,"Alexandria, Egypt",Full Time,https://wuzzuf.net/jobs/p/d9fbkc8svbz5-research-and-development-chemist-amreyah-cement-alexandria-egypt
AI Full-Stack Developer / AI Engineer,Confidential -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/rnyj8lf7jlzj-ai-full-stack-developer-ai-engineer-cairo-egypt
Operations Excellence & Assurance Lead,El Tawheed We El Noor - التوحيد والنور -,"Mohandessin, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/r8l2bkguer6e-operations-excellence-assurance-lead-el-tawheed-we-el-noor-altohyd-oalnor-giza-egypt
Senior DevOps Engineer,Vertex Technologies -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/uy3j5nf9qgqs-senior-devops-engineer-vertex-technologies-cairo-egypt
Associate System Engineer “Associate Data Management Engineer,Target Integrated Systems -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/ubsrja3n94m1-associate-system-engineer-associate-data-management-engineer-target-integrated-systems-cairo-egypt
Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/3x6prdwpt2tz-senior-data-engineer-vertex-technologies-cairo-egypt
Data Center Facility Electrical/ Mechanical Engineer,GPX Egypt -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/39xm37penfcr-data-center-facility-electrical-mechanical-engineer-gpx-egypt-cairo-egypt
Data Engineer (Infrastructure & Operations),MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/mhqqwhx31ryd-data-engineer-infrastructure-operations-meahco-saudi-german-health-cairo-egypt
Sr. Data Engineer - Spark,Techsa -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/4w6f7tucldaf-sr-data-engineer-spark-techsa-cairo-egypt
Sr. Data Engineer - Flink,Techsa -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/kxuhb21u1pz5-sr-data-engineer-flink-techsa-cairo-egypt
Principal Data Engineer,Vertex Technologies -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/2hly9qsdamhe-principal-data-engineer-vertex-technologies-cairo-egypt
Production Planning Engineer,Badawy - BEECO -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/nebtxse2to5r-production-planning-engineer-badawy-beeco-cairo-egypt
Technical Support & Quality Engineer,Bouri Group -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/24a55ggjdiio-technical-support-quality-engineer-bouri-group-cairo-egypt
Planning Engineer,Saudi-firmness -,"Katameya, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/nqbt5abgv20b-planning-engineer-saudi-firmness-cairo-egypt
Industrial Engineer,Confidential -,"10th of Ramadan City, Sharqia, Egypt",Full Time,https://wuzzuf.net/jobs/p/pgfjoz30wrgh-industrial-engineer-sharqia-egypt
Senior Machine Learning Engineer,TechJump -,"Alexandria, Egypt",Full Time,https://wuzzuf.net/jobs/p/etxcwinbdjs4-senior-machine-learning-engineer-techjump-alexandria-egypt
Facility Management Performance & Quality Engineer,Lasirena Group -,"Maadi, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/6bjjkccradum-facility-management-performance-quality-engineer-lasirena-group-cairo-egypt
SAP Master Data Administrator,Amreyah Cement -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/tre5cqqrxiqf-sap-master-data-administrator-amreyah-cement-cairo-egypt
Project Quality Engineer,ICPM -,"Sahel, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/ihtdsvgl3sxh-project-quality-engineer-icpm-cairo-egypt
Sales Engineer,Onspec Engineering and Contracting -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/iqwa14gfeell-sales-engineer-onspec-tawakol-engineering-contracting-cairo-egypt
Quality Control Engineer,Soudanco -,"Port Said, Egypt",Full Time,https://wuzzuf.net/jobs/p/usgnlqznm4dr-quality-control-engineer-soudanco-port-said-egypt
MLOps Engineer,Etisalat Egypt -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/ol7kpd5vvteu-mlops-engineer-etisalat-egypt-cairo-egypt
Quality Manager (Chemical Engineering),Rockal -,"Belbes, Sharqia, Egypt",Full Time,https://wuzzuf.net/jobs/p/jqaqwtgdkjyp-quality-manager-chemical-engineering-rockal-sharqia-egypt
Production Engineer,Confidential -,"10th of Ramadan City, Sharqia, Egypt",Full Time,https://wuzzuf.net/jobs/p/usmxetvianxm-production-engineer-sharqia-egypt
(CODE-07) Presales Engineer – IT & Network,IEC-Pro -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/eshln6in6dxe-code-07-presales-engineer-it-network-iec-pro-cairo-egypt
Data Engineer (Apache Spark),Aptivamena Tech -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/ciuesnp11aqc-data-engineer-apache-spark-aptivamena-tech-cairo-egypt
Data Engineer (Apache Flink),Aptivamena Tech -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/xgatgsrcxajg-data-engineer-apache-flink-aptivamena-tech-cairo-egypt
Data Scientist – Machine Learning & Generative AI,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/ygbb8ah3zfkh-data-scientist-machine-learning-generative-ai-epsilonai-cairo-egypt
AI Engineer (LLM & AI Applications),Exab -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/f3fqbcncr7i6-ai-engineer-llm-ai-applications-exab-cairo-egypt
AI Engineer,Confidential -,"Sheraton, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/kca9wrw4ul4l-ai-engineer-cairo-egypt
Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/yzal3d0v861d-senior-data-scientist-vertex-technologies-cairo-egypt
Cost Control Engineer,Saudi-firmness -,"Katameya, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/lqteo3iv3stg-cost-control-engineer-saudi-firmness-cairo-egypt
Planning Engineer,Doosan Enerbility co .LTD -,"Dabaa, Matruh, Egypt",Full Time,https://wuzzuf.net/jobs/p/mzvc0tsma55d-planning-engineer-doosan-enerbility-co-ltd-matruh-egypt
Planning Engineer,etisal for advanced industries -,"6th of October, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/m9xesrhuzufc-planning-engineer-etisal-for-advanced-industries-giza-egypt
